number,value,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_depth,params_l2_leaf_reg,params_learning_rate,params_subsample
154,0.565932937,,Plain,Bernoulli,5,17,0.044341999,0.386885118
155,0.567521664,,Plain,Bernoulli,4,19,0.062451427,0.493160551
156,0.568106845,,Plain,Bernoulli,4,19,0.083321094,0.490460786
157,0.568363177,,Plain,Bernoulli,4,20,0.068689352,0.534891686
158,0.009209464,4.138628953,Plain,Bayesian,4,20,1.34E-05,
159,0.568016427,,Plain,Bernoulli,4,20,0.06364824,0.512922836
160,0.563477049,,Ordered,Bernoulli,4,20,0.064170871,0.533498767
161,0.567337142,,Plain,Bernoulli,4,19,0.07976561,0.520508833
162,0.567275208,,Plain,Bernoulli,4,20,0.063460304,0.493810328
163,0.566228901,,Plain,Bernoulli,4,20,0.082073632,0.453736262
164,0.565358935,,Plain,Bernoulli,4,19,0.038796608,0.571466244
165,0.566476402,,Plain,Bernoulli,4,19,0.099320984,0.536879788
166,0.568482022,,Plain,Bernoulli,4,20,0.056731643,0.501089765
167,0.567302307,,Plain,Bernoulli,4,20,0.05761914,0.235443174
168,0.567834927,,Plain,Bernoulli,4,20,0.069396975,0.486934081
169,0.567810438,,Plain,Bernoulli,4,20,0.066020181,0.494858847
170,0.567727591,,Plain,Bernoulli,4,20,0.064434135,0.489645735
171,0.56806857,,Plain,Bernoulli,4,20,0.068210848,0.483277433
172,0.567279365,,Plain,Bernoulli,4,20,0.050332667,0.513828454
173,0.566571516,,Plain,Bernoulli,4,20,0.067173875,0.463055625
174,0.567017877,,Plain,Bernoulli,4,20,0.055109603,0.559195191
175,0.498127918,,Plain,Bernoulli,4,20,0.00377517,0.471580694
176,0.567357536,,Plain,Bernoulli,4,20,0.068785155,0.487358236
177,0.567404995,,Plain,Bernoulli,4,20,0.099661873,0.518469622
178,0.566031522,,Plain,Bernoulli,4,20,0.043720823,0.454031537
179,0.567662432,,Plain,Bernoulli,4,19,0.073762268,0.600231522
180,0.477328151,,Plain,MVS,4,20,0.054206763,
181,0.566266134,,Plain,Bernoulli,4,19,0.073366765,0.419587544
182,0.568153198,,Plain,Bernoulli,4,19,0.073508051,0.596212059
183,0.565359728,,Plain,Bernoulli,4,19,0.082008875,0.595074275
184,0.567275595,,Plain,Bernoulli,4,19,0.061749951,0.551347379
185,0.567126713,,Plain,Bernoulli,4,20,0.048786579,0.505623122
186,0.566394115,,Plain,Bernoulli,4,20,0.083455038,0.483530983
187,0.565047842,,Plain,Bernoulli,4,19,0.034843323,0.536931473
188,0.047340069,,Plain,Bernoulli,4,10,6.71E-05,0.603105441
189,0.563853689,,Ordered,Bernoulli,4,19,0.058745578,0.57515598
190,0.567125429,0.117418765,Plain,Bayesian,4,20,0.072054696,
191,0.566790587,,Plain,Bernoulli,4,20,0.07197124,0.476403396
192,0.566797652,,Plain,Bernoulli,4,19,0.083776299,0.516281024
193,0.56763528,,Plain,Bernoulli,4,19,0.063154687,0.433012688
194,0.566160639,,Plain,Bernoulli,4,19,0.050532623,0.44064546
195,0.566020349,,Plain,Bernoulli,5,19,0.098554779,0.457437016
196,0.567360923,,Plain,Bernoulli,4,20,0.06148444,0.494048812
197,0.565386888,,Plain,Bernoulli,4,19,0.040634277,0.558165306
198,0.566634934,,Plain,Bernoulli,4,20,0.056494259,0.417944809
199,0.568066864,,Plain,Bernoulli,4,20,0.070721364,0.528462539
